科目,国語,世界史B,日本史B,地理B,現代社会,倫理,政治・経済,倫理／政治・経済,数学IA,数学IIB,物理基礎,化学基礎,生物基礎,地理基礎,物理,化学,生物,地学,英語,リスニング
国語,NA,0.56,0.56,0.59,0.5,0.56,0.39,0.59,0.51,0.47,0.59,0.55,0.56,0.56,0.57,0.58,0.62,0.47,0.66,0.56
世界史B,0.56,NA,0.72,0.64,0.51,0.48,0.46,0.6,0.56,0.57,0.62,0.59,0.61,0.6,0.71,0.72,0.7,0.4,0.67,0.51
日本史B,0.56,0.72,NA,0.64,0.54,0.51,0.48,0.65,0.53,0.54,0.62,0.58,0.6,0.59,0.67,0.69,0.68,0.45,0.67,0.51
地理B,0.59,0.64,0.64,NA,0.41,0.54,0.44,0.6,0.55,0.56,0.63,0.61,0.67,0.65,0.63,0.64,0.67,0.54,0.64,0.53
現代社会,0.5,0.51,0.54,0.41,NA,0.51,0.75,0.67,0.39,0.35,0.51,0.52,0.58,0.57,0.46,0.5,0.56,0.49,0.54,0.39
倫理,0.56,0.48,0.51,0.54,0.51,NA,0.55,NA,0.4,0.37,0.49,0.47,0.56,0.53,0.53,0.56,0.62,0.42,0.56,0.39
政治・経済,0.39,0.46,0.48,0.44,0.75,0.55,NA,NA,0.37,0.35,0.45,0.47,0.53,0.51,0.5,0.52,0.54,0.42,0.53,0.35
倫理／政治・経済,0.59,0.6,0.65,0.6,0.67,NA,NA,NA,0.47,0.47,0.56,0.56,0.62,0.59,0.62,0.65,0.68,0.44,0.61,0.46
数学IA,0.51,0.56,0.53,0.55,0.39,0.4,0.37,0.47,NA,0.81,0.69,0.63,0.57,0.59,0.71,0.7,0.66,0.52,0.65,0.51
数学IIB,0.47,0.57,0.54,0.56,0.35,0.37,0.35,0.47,0.81,NA,0.7,0.63,0.57,0.58,0.77,0.75,0.69,0.56,0.65,0.53
物理基礎,0.59,0.62,0.62,0.63,0.51,0.49,0.45,0.56,0.69,0.7,NA,0.68,0.71,0.73,0.71,0.52,0.57,0.4,0.67,0.56
化学基礎,0.55,0.59,0.58,0.61,0.52,0.47,0.47,0.56,0.63,0.63,0.68,NA,0.66,0.68,0.49,0.64,0.49,0.17,0.61,0.5
生物基礎,0.56,0.61,0.6,0.67,0.58,0.56,0.53,0.62,0.57,0.57,0.71,0.66,NA,0.73,0.43,0.37,0.61,0.46,0.62,0.47
地理基礎,0.56,0.6,0.59,0.65,0.57,0.53,0.51,0.59,0.59,0.58,0.73,0.68,0.73,NA,0.43,0.43,0.36,0.59,0.6,0.46
物理,0.57,0.71,0.67,0.63,0.46,0.53,0.5,0.62,0.71,0.77,0.71,0.49,0.43,0.43,NA,0.76,0.76,0.64,0.72,0.58
化学,0.58,0.72,0.69,0.64,0.5,0.56,0.52,0.65,0.7,0.75,0.52,0.64,0.37,0.43,0.76,NA,0.71,0.6,0.71,0.58
生物,0.62,0.7,0.68,0.67,0.56,0.62,0.54,0.68,0.66,0.69,0.57,0.49,0.61,0.36,0.76,0.71,NA,0.61,0.7,0.56
地学,0.47,0.4,0.45,0.54,0.49,0.42,0.42,0.44,0.52,0.56,0.4,0.17,0.46,0.59,0.64,0.6,0.61,NA,0.52,0.44
英語,0.66,0.67,0.67,0.64,0.54,0.56,0.53,0.61,0.65,0.65,0.67,0.61,0.62,0.6,0.72,0.71,0.7,0.52,NA,0.73
リスニング,0.56,0.51,0.51,0.53,0.39,0.39,0.35,0.46,0.51,0.53,0.56,0.5,0.47,0.46,0.58,0.58,0.56,0.44,0.73,NA